"nuts1","nuts2","nuts3","BNP_vote_share","Conservative_vote_share","Green_vote_share","LD_vote_share","Labour_vote_share","UKIP_vote_share","agriculture","agriculture_int","cancer_62_days","cancer_62_days_int","change_rel_inc_med","eu_15_imm_01","eu_15_imm_growth","eu_access_imm_01","eu_access_imm_01_int","eu_access_imm_growth","eu_access_imm_growth_int","eu_eco_dependence","fiscal_cuts","fiscal_cuts_int","immigrant_arrivals","immigrant_arrivals_int","immigrant_share","immigrant_share_int","import_shock","instrument_for_shock","leave_share","median_wage","median_wage_growth","other_imm_01","other_imm_growth","pub_empl_growth","pub_empl_growth_int","share_above_60","share_above_60_growth","share_commuters_london","share_council_rent","share_council_rent_growth","share_high_skill","share_home_own","share_home_own_growth","temporary_immigrants","unemployment"
3,"UKE1","UKE12",1.04001522064209,29.0364170074463,6.7334771156311,5.86620616912842,15.2985153198242,37.9611434936523,2.76,0.532519340515137,0.0383914709091187,0.00740731926634908,-6.41752910614014,0.790479898452759,0.113653369247913,0.0799075439572334,0.015417505055666,0.895855963230133,0.172848060727119,14.7,-156.024169921875,-30.1035842895508,0.553792701785392,0.106849759817123,3.91566265060241,0.755495011806488,0.192941799759865,1.48217070102692,60.3956463816203,9.52,-9.36461639404297,1.55039751529694,27.1047229766846,-0.123152129352093,-0.0237611941993237,22.7800064086914,29.4235820770264,0.150733336806297,9.00949001312256,-18.8838176727295,20.9,78.2658462524414,-3.78685903549194,0.362500753117908,4.4
3,"UKE1","UKE13",1.57519555091858,23.8521690368652,5.09793043136597,3.75250864028931,23.1559276580811,38.631046295166,0.96,0.270935505628586,-0.124921195209026,-0.0352558195590973,-12.3754005432129,0.764409899711609,0.158286899328232,0.119358614087105,0.0336859226226807,1.80517840385437,0.509465515613556,14.7,-43.6638031005859,-12.3229942321777,1.19602084507599,0.337546348571777,5.52147239263804,1.55829465389252,0.282224476337433,2.1049542427063,67.9797907580849,8.925,-8.65955829620361,1.74501645565033,49.6497077941895,0.0690897554159164,0.0194988194853067,20.8452835083008,17.3621578216553,0.0955863147974014,13.9919118881226,-58.5356597900391,20.9,72.458251953125,-6.40734958648682,0.723347869510615,6.6
3,"UKE2","UKE21",0.737843573093414,23.1564483642578,15.7632141113281,10.4101476669312,22.5052852630615,23.8773784637451,0.65,0.0610948242247105,0.442410409450531,0.0415830574929714,-8.28066349029541,1.51523518562317,0.406418800354004,0.128110259771347,0.012041344307363,1.51854836940765,0.142731457948685,11,-235.412979125977,-22.1269454956055,1.20595110654753,0.113349802792072,9.80392156862745,0.921490609645844,0.0939920395612717,0.749738156795502,41.9552919708029,9.2,-3.24142694473267,2.96917605400085,103.812538146973,1.07692229747772,0.10122212022543,19.9246654510498,14.3686180114746,0.319611221551895,10.4862194061279,-15.7559156417847,31.5,72.425895690918,-8.73573970794678,0.442036426131854,3.7
3,"UKE2","UKE22",0.920564293861389,33.7792282104492,8.30965232849121,7.7230372428894,13.5469760894775,31.3603038787842,3.58,0.694435656070709,0.258466362953186,0.050136387348175,4.08583641052246,1.17543792724609,0.0900537148118019,0.0807499215006828,0.0156635828316212,1.21686613559723,0.236043363809586,11,-202.174575805664,-39.2171058654785,0.581149619611158,0.112729340791702,6.13287904599659,1.18963408470154,0.193976446986198,1.49343276023865,54.9412469419859,8.57,-1.97368788719177,2.38177156448364,39.84375,0.0848465338349342,0.0164582300931215,22.6493053436279,23.827543258667,0.227970808744431,6.48194551467896,-38.2706489562988,31.5,73.0843505859375,-4.71714782714844,1.37473862170218,3.5
3,"UKE3","UKE31",2.41117691993713,12.0574607849121,4.3310809135437,2.28770184516907,34.939208984375,37.4181671142578,0.37,0.114783309400082,0.0707522332668304,0.0219491235911846,10.4324226379395,0.476162642240524,0.103305779397488,0.123754493892193,0.0383917577564716,1.47071325778961,0.456252247095108,9.4,28.524621963501,8.84905529022217,1.31062277480864,0.406588166952133,5.26976160602258,1.63481259346008,0.310225158929825,2.06604957580566,68.4094896932521,8.45666666666667,-4.73147916793823,1.49262249469757,88.3551330566406,0.330293595790863,0.102465383708477,20.214994430542,16.5535621643066,0.133974760770798,21.7459754943848,-22.6433849334717,20.8,66.252799987793,-1.84914135932922,0.559135331458929,7.9
3,"UKE3","UKE32",1.56462001800537,10.8329095840454,12.2173223495483,10.1050148010254,33.6181297302246,27.6592884063721,0.45,0.123074129223824,0.520682215690613,0.142405569553375,2.60712289810181,0.752872943878174,0.281937688589096,0.138922989368439,0.0379951670765877,1.15834105014801,0.316804021596909,9.4,-84.1967163085938,-23.0276374816895,1.50569745017068,0.411805331707001,10.8540925266904,2.96857333183289,0.273498058319092,2.112380027771,50.9902419091819,8.87,-2.28262662887573,5.02636194229126,96.4336929321289,0.437571883201599,0.119675062596798,19.7643184661865,4.71269130706787,0.166765198111534,26.4683723449707,-33.082145690918,20.8,59.5973739624023,-2.11925864219666,0.198996735919311,7.7
3,"UKE4","UKE41",1.42871558666229,16.513313293457,6.82755279541016,6.97430658340454,39.449634552002,24.781229019165,0.666666666666667,0.301498144865036,0.88068699836731,0.39828822016716,-4.27413892745972,0.806774079799652,0.110121563076973,0.339131653308868,0.153371334075928,2.24733519554138,1.01635110378265,9.9,32.1206283569336,14.5264644622803,1.4268990950336,0.645311117172241,16.1904761904762,7.32209777832031,0.452247202396393,2.69107699394226,54.23173208221,8.31,-2.08727931976318,10.0580539703369,51.1586380004883,0.864171624183655,0.390819191932678,16.9426078796387,8.62546825408936,0.144580289721489,11.7328538894653,-49.8398590087891,26.3,71.0356979370117,-8.49134063720703,0.240192153722978,9
3,"UKE4","UKE42",1.34774386882782,18.7117004394531,9.31153774261475,6.35287761688232,32.6846809387207,27.3585529327393,0.266666666666667,0.0938720181584358,0.96077162027359,0.338210880756378,12.5040817260742,0.893343865871429,0.263488233089447,0.188145965337753,0.0662311539053917,1.49286699295044,0.525519132614136,9.9,-95.8037185668945,-33.7248306274414,1.77185543797327,0.623728632926941,11.1111111111111,3.91133403778076,0.352020055055618,2.66941404342651,49.6916122136537,9.29,-3.33827090263367,4.72279930114746,80.7795867919922,-0.884647369384766,-0.311413615942001,18.9910659790039,4.94762229919434,0.194854170084,20.9128227233887,-19.2759227752686,26.3,61.7872543334961,-5.86632633209229,0.236954719249918,6.5
3,"UKE4","UKE44",1.72031116485596,20.2840538024902,8.38390350341797,5.62021589279175,31.6222457885742,27.3823356628418,0.34,0.202767044305801,0.522736012935638,0.311746001243591,-2.7102313041687,0.623610079288483,0.071259893476963,0.186928123235703,0.111479014158249,1.07733249664307,0.642492771148682,9.9,-45.6863975524902,-27.2461643218994,0.765703612505914,0.456645488739014,10.1880877742947,6.0759072303772,0.596373677253723,3.78372311592102,54.9966735259078,9.21,-5.1309986114502,5.51437902450562,43.4840965270996,-1.38724625110626,-0.827317118644714,18.2125053405762,19.0676975250244,0.12472178786993,12.6200151443481,-22.5006675720215,26.3,70.5706634521484,-5.21960163116455,0.311136763929935,6.1
3,"UKE4","UKE45",2.11782360076904,14.9512033462524,5.00744152069092,2.42733144760132,33.965518951416,36.0425148010254,0.34,0.134181156754494,-0.0878565907478333,-0.0346726439893246,8.05239009857178,0.52860027551651,0.0526696555316448,0.0831292122602463,0.0328069813549519,1.82027590274811,0.718372702598572,9.9,11.7251758575439,4.62734603881836,1.12727255379948,0.44487863779068,7.57575757575758,2.98977613449097,0.394650459289551,2.63108777999878,66.3640726225706,8.48,-6.26012372970581,1.60420346260071,78.0854415893555,-0.332645833492279,-0.131278827786446,19.7663249969482,18.5650444030762,0.112894967198372,25.7034149169922,-33.1249618530273,26.3,64.5985260009766,-1.55930602550507,0.304835870451911,6.4
