"trump_vote","host_imm","unemp","male","college","white","home_owner","age","weight"
NA,5,0,0,1,0,0,23,0.227951044534695
0,5,0,0,1,0,0,40,1.70297929380952
1,5,0,1,0,0,1,55,0.599328664756195
0,10,0,1,0,0,0,53,0.50810974983723
1,10,0,0,0,1,1,64,1.06159113352395
1,10,0,1,0,0,1,40,0.603727296542907
0,7.5,0,0,0,0,0,37,0.378958956139715
0,2.5,0,0,0,1,1,30,1.24498569618045
0,0,0,0,1,1,0,40,0.511731108709368
0,5,0,1,0,1,1,74,0.784844371219282
1,10,0,1,0,1,1,68,4.78937054107482
NA,7.5,0,1,0,1,0,66,0.389200504397443
0,7.5,0,1,0,1,0,72,0.0468652390757126
1,5,0,1,0,1,1,77,1.03771751379429
0,5,0,0,1,0,0,22,0.867474556854459
0,0,0,1,1,0,1,47,0.349427926482399
0,0,0,0,1,1,0,29,0.654150506799911
1,7.5,0,0,0,1,1,50,0.615940972738871
1,7.5,0,0,1,1,1,51,1.91437100895103
0,2.5,0,0,1,1,1,60,0.889974897417621
0,0,0,1,0,1,0,64,1.81810132684899
NA,0,0,1,0,1,0,58,0.259052096548851
0,2.5,0,0,0,1,1,66,0.575113340103195
1,10,0,0,1,1,1,67,1.27363392568151
NA,10,0,0,0,1,0,68,0.21480196182945
1,10,0,0,0,1,1,77,0.561938290281407
1,10,0,0,0,1,1,69,1.26870989608142
0,5,0,0,0,1,1,65,1.1641710795297
1,10,0,0,1,1,1,81,0.471651080257395
0,0,0,0,1,1,1,80,0.368825367412793
0,2.5,0,0,1,1,1,78,0.929919992796156
0,0,0,0,1,1,1,73,1.23050731069106
1,5,0,0,1,1,1,77,0.993218639566638
1,0,0,0,1,1,1,67,0.63835858967661
1,10,0,0,1,1,1,58,1.14450632486378
1,5,0,0,1,1,0,55,1.06500373117185
1,10,0,0,1,1,1,57,1.1038034308343
0,0,0,0,1,1,1,64,0.306478340610849
1,10,0,0,1,1,1,62,1.12072196504585
NA,2.5,0,1,0,0,0,52,1.07692817578633
0,0,0,0,1,1,0,29,0.576580128211361
0,2.5,1,1,0,1,0,21,3.71902405496024
0,5,0,0,0,0,0,45,0.663667385256221
0,0,0,0,1,1,1,41,1.1811756212983
0,0,0,0,1,1,1,40,0.412273478556361
0,2.5,0,1,1,0,1,65,0.273092309626594
NA,5,1,0,1,0,0,34,2.34592775010483
1,2.5,0,1,1,1,1,34,1.79809609845718
NA,5,0,1,1,1,1,31,0.108289670141652
NA,10,0,1,1,1,0,38,1.04439316808151
0,0,0,1,1,1,0,31,1.31711095227538
0,5,0,0,1,0,1,47,0.249615868064492
1,7.5,0,0,0,1,1,77,0.752185953371471
1,5,0,0,0,1,1,75,0.900932420703291
0,0,0,0,0,1,1,84,1.57333649094156
1,10,0,1,1,1,1,61,0.672268421118804
0,0,0,1,0,1,1,58,1.18914425949764
1,5,0,1,0,1,1,56,0.717157546347366
1,10,1,1,1,1,0,56,1.13071109060598
1,5,0,1,1,1,1,60,0.724094235575108
0,10,0,1,1,1,1,54,0.191569254107211
NA,10,0,0,0,1,1,53,0.241005441813745
NA,7.5,0,0,0,1,0,54,0.752998104339487
0,2.5,0,0,0,1,0,61,1.1538948454081
1,10,0,1,0,1,1,84,0.761712274881218
0,2.5,0,1,0,1,1,67,0.672078024511926
1,10,0,1,0,1,1,70,0.646494508918743
0,0,0,1,1,1,1,70,0.694395036626827
0,2.5,0,1,1,1,1,65,0.460147898330641
1,0,0,1,1,1,1,60,1.60763780054494
1,10,0,1,1,1,1,57,0.690431080587309
0,2.5,0,1,1,0,0,59,0.807883015821213
0,10,0,0,0,0,1,59,0.866636077417486
NA,7.5,0,0,0,1,0,28,1.11068870752519
0,10,0,0,1,0,1,64,0.448485447013591
0,0,0,0,1,1,1,53,0.80666485815948
1,7.5,0,0,0,1,1,62,1.31408624407483
1,7.5,0,1,0,1,0,65,1.24321414076376
0,5,0,1,1,1,0,56,0.269994567446749
0,10,0,0,0,1,0,57,0.107573207813176
0,0,0,0,1,1,1,62,1.07265790968729
0,2.5,0,1,1,0,0,71,0.322322104654534
0,5,0,1,0,0,1,80,1.10859046467031
0,10,0,0,0,1,1,65,0.0489429579131573
1,10,0,1,0,1,1,71,3.92198408605821
1,7.5,0,1,1,1,1,59,0.475627934481864
0,10,0,0,1,1,1,63,0.805781609765458
NA,7.5,1,0,0,1,0,68,5.211215710138
1,10,0,1,1,1,1,63,1.33391924660984
NA,5,0,0,0,0,1,19,1.83371846652682
1,10,0,1,1,1,1,55,0.737208395241822
0,2.5,0,0,0,1,1,79,0.788267722369693
1,10,0,0,0,1,1,75,0.928241746686569
0,0,0,0,1,1,0,47,0.542530420928382
0,2.5,0,0,1,1,1,53,0.803968092197292
1,10,0,1,1,0,1,49,0.213206129735114
NA,0,0,1,1,1,1,77,2.04049511756722
0,2.5,0,0,1,0,1,65,0.533064655789378
1,10,0,0,1,1,1,53,1.76183876449065
1,5,0,0,0,1,1,68,1.14224767209425
0,0,0,1,1,1,0,38,0.46349598933625
1,10,0,1,1,0,1,41,0.222136858875022
0,2.5,0,1,1,1,1,69,0.776524994990731
0,5,0,1,1,1,1,89,0.698058927042324
0,7.5,0,0,1,1,1,42,0.286605510415297
0,0,0,0,1,1,0,40,0.414455678467961
0,0,0,0,1,1,1,43,0.657834194033122
0,0,0,0,1,1,0,31,0.644501893941335
1,5,0,0,1,1,1,59,0.709159074246615
1,7.5,0,0,1,1,1,47,1.04784582639595
1,10,0,0,1,1,0,63,0.658227842303762
0,2.5,0,0,0,0,1,59,0.817474230080655
0,0,0,0,1,1,1,59,0.771551366644845
1,7.5,0,0,1,1,1,45,1.27317306938639
0,0,0,0,1,1,1,47,1.09109826179728
1,10,0,0,1,1,1,52,0.000107106937841872
1,5,0,0,1,1,0,50,1.59981520547946
0,0,0,0,0,1,1,75,0.733313436593083
NA,2.5,0,0,0,1,1,73,0.066415847608015
0,0,0,0,0,1,1,73,0.730322233534088
1,5,0,0,1,1,1,68,0.916345680899311
0,0,0,0,0,1,0,83,0.620346537826244
1,7.5,0,0,1,1,1,74,0.625661577941619
0,0,0,0,1,1,1,83,0.583216075802361
1,10,0,0,1,1,1,55,0.466472727474084
NA,10,0,0,1,1,1,54,1.86419011266495
0,7.5,0,0,1,1,0,62,0.737717663205806
NA,10,1,1,0,0,0,63,0.39373373771649
0,0,0,0,1,1,0,29,0.479113231114247
0,0,0,0,1,1,0,29,0.629030480183908
0,0,0,0,1,1,1,40,0.649638551310955
0,2.5,0,0,1,1,1,31,0.466588601711068
0,2.5,1,0,1,0,1,68,0.139568432179577
0,0,0,0,1,0,1,72,0.183926250157952
0,0,0,1,0,1,1,61,0.925531155187042
1,0,0,1,0,1,0,56,0.459556892122709
1,10,0,1,1,1,1,56,0.633642121902315
0,7.5,0,1,1,1,1,63,0.833999591415501
0,0,0,1,0,1,0,51,0.645682581268285
1,10,0,1,0,1,1,63,0.759533969880983
0,2.5,0,1,0,1,1,59,0.230094719030837
1,7.5,0,1,1,1,0,50,0.63095751127117
0,0,0,1,1,1,1,58,0.255737823934908
0,2.5,0,1,1,1,1,57,0.63676495927046
0,2.5,1,0,0,1,1,61,0.859960758234647
1,2.5,0,0,0,1,1,61,0.732091824817791
1,10,0,1,0,1,1,69,0.515106456938791
0,0,0,1,1,1,1,76,1.05790659604289
1,7.5,0,1,1,1,1,67,0.77936550060491
0,5,0,1,1,1,1,73,0.994880816422049
0,7.5,0,1,1,1,1,68,0.761638114746311
1,7.5,0,1,1,1,0,65,0.629630086126844
0,0,0,1,1,1,1,64,0.712690192037163
1,10,0,1,1,1,1,62,0.799746465643768
0,2.5,0,1,1,1,0,26,0.876491750020511
NA,0,0,1,1,0,1,70,0.157523105756852
1,10,0,1,1,1,1,49,0.259776167450452
0,0,1,0,0,0,1,56,0.326032389305196
0,7.5,0,1,1,1,1,22,0.6013709416368
0,5,0,1,1,1,1,64,0.602567134794549
0,0,0,1,1,1,0,32,1.11048765588686
0,0,0,1,0,1,1,73,0.410286442224469
1,5,0,0,0,1,1,74,4.80837399099528
0,5,0,0,0,1,1,78,1.42220163819448
0,2.5,0,1,0,1,1,80,0.798220131499352
0,0,0,1,1,1,1,34,0.865651472119516
0,0,0,1,1,1,1,53,0.446278004763922
0,0,0,1,1,1,1,48,0.81891319516036
1,10,0,0,1,1,1,63,1.53454072052995
1,10,0,0,1,1,0,54,3.33500360533659
0,0,0,1,1,1,1,74,1.15366955589261
0,0,0,0,1,1,1,33,0.653011946309195
1,10,0,1,0,1,1,64,0.970189551912219
1,2.5,0,1,1,1,1,78,1.09726167068642
0,0,0,1,1,1,1,55,0.63676495927046
0,0,0,0,1,1,0,78,0.391353750291206
1,5,0,0,1,1,1,72,2.06500158460585
1,10,0,0,1,1,1,56,1.35777405589624
1,10,0,0,1,1,1,72,1.01665287246632
1,5,0,1,0,1,1,80,0.604277989501686
0,2.5,0,1,1,1,1,56,0.93140154720934
1,10,0,1,0,1,1,60,0.532188123520617
1,5,0,0,1,1,0,52,0.666726368230375
0,0,0,0,1,0,1,67,0.190369141008302
